index,dist_m,segment_dist_m,speed_m_s,target_m_s,pwm_l,pwm_r,angle_err_deg,angle_err_rad,radius_m
193,2.002,0.009999999999999787,0.743,0.9,455,157,-0.857,-0.014957471689591405,-0.6685621880172824
194,2.012,0.010000000000000231,0.753,0.9,959,458,-0.627,-0.010943214410004447,-0.913808285695114
195,2.023,0.01100000000000012,0.756,0.9,478,54,-1.016,-0.01773254520026239,-0.6203283214999138
196,2.033,0.009999999999999787,0.746,0.9,887,231,-1.066,-0.018605209826259555,-0.5374838603478527
197,2.044,0.01100000000000012,0.753,0.9,903,348,-0.92,-0.016057029118347832,-0.6850582333086005
198,2.054,0.009999999999999787,0.744,0.9,636,85,-0.792,-0.01382300767579509,-0.7234315595085997
199,2.065,0.01100000000000012,0.743,0.9,1009,406,-0.653,-0.011397000015522973,-0.9651662705113513
200,2.075,0.010000000000000231,0.748,0.9,603,97,-1.162,-0.02028072590817411,-0.49307899753084034
201,2.086,0.010999999999999677,0.752,0.9,475,144,-1.112,-0.019408061282176946,-0.566774797341625
202,2.096,0.010000000000000231,0.743,0.9,743,210,-0.782,-0.013648474750595658,-0.7326826024691003
203,2.107,0.01100000000000012,0.75,0.9,666,106,-0.829,-0.014468779499032991,-0.7602576292447678
204,2.117,0.009999999999999787,0.74,0.9,468,25,-1.173,-0.020472712125893487,-0.4884550683127118
205,2.127,0.009999999999999787,0.73,0.9,957,364,-1.003,-0.017505652397503124,-0.571244062941985
206,2.138,0.01100000000000012,0.746,0.9,330,248,-1.206,-0.021048670779051613,-0.5225983206002591
207,2.148,0.010000000000000231,0.749,0.9,666,143,-0.532,-0.009285151620609835,-1.0769883367120985
208,2.159,0.010999999999999677,0.746,0.9,477,81,-0.729,-0.012723450247038663,-0.8645453698818751
209,2.169,0.010000000000000231,0.746,0.9,603,43,-0.911,-0.015899949485668342,-0.6289328157308852
210,2.179,0.009999999999999787,0.733,0.9,404,192,-0.653,-0.011397000015522973,-0.8774238822830184
211,2.19,0.01100000000000012,0.74,0.9,673,111,-0.674,-0.011763519158441782,-0.9350943243974962
212,2.2,0.010000000000000231,0.738,0.9,307,214,-0.476,-0.008307767239493008,-1.2036928469135222
213,2.21,0.009999999999999787,0.738,0.9,395,188,-0.669,-0.011676252695842066,-0.8564391556514364
214,2.221,0.01100000000000012,0.741,0.9,481,57,-0.434,-0.00757472895365539,-1.4521971765988766
215,2.231,0.009999999999999787,0.74,0.9,761,190,-0.249,-0.004345869837465881,-2.301035321810486
216,2.241,0.010000000000000231,0.735,0.9,600,39,-0.527,-0.009197885158010117,-1.0872064423735037
217,2.252,0.010999999999999677,0.734,0.9,695,112,-0.244,-0.004258603374866164,-2.5830064534585535
218,2.262,0.010000000000000231,0.742,0.9,417,135,-0.466,-0.008133234314293577,-1.2295231655168162
219,2.272,0.009999999999999787,0.74,0.9,603,17,-0.338,-0.005899212871740834,-1.6951414057124585
220,2.283,0.01100000000000012,0.744,0.9,519,76,-0.15,-0.002617993877991494,-4.201690497626084
